,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019
faerie,1000,996.2266285696244,1000.6036811481227,1009.8202999327988,1020.0173207477781,1054.4803924248747,1067.5727600810517,1070.814565276329,1078.5288504097687,1077.5606015517196,1069.2877663131144,1071.2872783259013,1211.7788969998026,1211.282266304311
fish,1000,1000.1310928340728,998.6137194255223,1000.0092353118173,1011.9263463720464,1047.0189974697646,1074.100947951115,1070.6035912764364,1074.6000412824908,1071.8473852052637,1075.2279218087338,1077.7502545158277,1076.7372703431959,1076.7372703431959
forest,1000,1002.3118449146117,1005.6319062513794,1008.3494673921837,1025.0479645995508,1043.8096736063699,1059.8165747925032,1060.377447466472,1070.136957843345,1078.8084643299596,1088.4837964582919,1091.1506479788543,1091.9991108949885,1091.732652869935
fox,1000,995.952380952381,994.0802900107412,997.8672625441154,1017.9501763139597,1060.9476799940082,1101.9705330806114,1092.1315104638202,1105.4737449034194,1112.2732857946903,1112.2732857946903,1122.8663647070207,1113.1168139617994,1113.1168139617994
frog,1000,997.768686327758,985.9240576094528,1007.4381988866588,1013.9957882984463,1021.8933204540576,1036.957918410491,1043.1891081595709,1051.5696513647763,1049.5697255018054,1043.1278101793803,1037.7121651880184,1043.6004583503916,1043.6004583503916
fungus,1000,1010.0139637466627,1005.2192316467116,998.2441436999907,1005.3906592442148,1024.2291176164238,1033.5770800178964,1048.3450818879028,1037.205246321839,1034.720791191025,1038.831130186375,1053.7789827540223,1048.5370875419026,1047.5384807918626
gargoyle,1000,995.2013768251364,1008.7634609953602,1017.2575673347967,1042.4563184246024,1059.0903287556564,1086.6619752677361,1089.7511897011602,1118.7620954892473,1101.9195552030574,1113.5841079214636,1116.627325895981,1111.795080584528,1111.795080584528
gate,1000,992.9461836554732,998.9874562761245,1001.7155223175637,1024.5964701649111,1052.7989080810353,1081.054266668462,1084.4836444635857,1093.3576200768127,1101.0840787499603,1090.558865768032,1097.4662001535444,1104.3795222535732,1105.03167736745
germ,1000,999.5293045355237,1006.4982715614183,1006.8369816751613,1027.1202254161956,1057.3764468337497,1086.1982684447057,1089.7684020861498,1100.858064804315,1103.7311074508627,1095.6847306962331,1107.5907707798938,1115.2281770990403,1115.2281770990403
giant,1000,994.4438056498892,999.617847324218,1005.755007469319,1029.0262477538172,1064.1925301409738,1087.3124356114045,1095.224032221088,1108.004612824408,1102.750996850529,1096.6569576950599,1105.9902134750514,1107.633902136061,1108.3582955174359
gideon,1000,998.014444693418,987.6839719322406,955.1473911660272,969.736946918954,1002.3076752210187,1001.4828186239276,1013.4943720382208,1033.0738661942473,1012.7533647404556,1012.0012452241556,1010.938159816341,1004.3801646095301,1012.2668644137567
gnome,1000,986.4997055003543,985.3700767271685,992.751143847453,1011.4621068846704,1041.2485416625834,1057.649161145031,1078.4099406831388,1095.6758285932326,1090.6666248846536,1096.70697803892,1086.9185542418466,1087.430674798346,1087.430674798346
goat,1000,1002.9212454212455,1011.4605160262244,1024.7945332279382,1031.6277459430632,983.6952254577446,974.7913524502608,987.7397619917048,1001.3906766348907,994.5401703767417,972.8594980869341,975.2501826512308,981.110549749774,981.110549749774
goblin,1000,996.7793963030797,999.8501302328772,1006.279782980912,1027.8354360685232,1054.5777736696966,1067.2724995048802,1080.8403849518422,1100.8765797474896,1101.3012882001224,1100.5033254082318,1103.0388717183607,1109.9039614576145,1109.9468198213453
god,1000,1009.9839461328933,1036.9106311712083,1029.7492361768711,1033.745982594384,1036.4394736556437,1048.35558973818,1038.1634513576482,1033.6466685779026,1034.5334575260952,1023.8210050062606,1012.2964501304126,998.9447941126223,986.9123470852611
golem,1000,1004.3611229878758,1004.1248987205414,1005.00233106476,1026.9726035278952,1038.972749685719,1071.3129774997706,1082.414966545302,1091.8586700022734,1087.2040031812746,1067.220625607232,1069.9335348682514,1063.4609436448015,1062.7643435007205
gorgon,1000,999.4235836627139,1011.4805832912033,1006.0540048748227,1039.5021436759669,1083.7697621391865,1115.3895440389613,1107.4785819811398,1123.2603390949305,1116.074214776691,1087.4079067205978,1095.5830271495454,1131.8367383246182,1131.8367383246182
gremlin,1000,1018.3933933933936,1024.927918903309,1077.647378807713,1100.5385812987263,1156.50614162973,1228.0173988503818,1237.3205609628847,1236.2868762837174,1252.6830315734987,1217.818845132742,1230.9089269222122,1217.86428049778,1217.86428049778
griffin,1000,1000.1137604364856,1001.483263534108,1002.7648567657907,1125.9906409127354,1163.2770447336,1195.1494629376773,1201.2491736091995,1221.6822509010485,1219.096119613656,1207.3314110231945,1189.8737968671705,1189.0894083638052,1192.4771274759528
hag,1000,997.6287655358163,994.0860656388983,1000.1594921966607,1011.3902304452254,1039.4627890512766,1072.0035157365448,1071.0501300522124,1075.1533066487762,1068.415224904005,1060.0310539935601,1073.1672168854118,1085.657197880573,1082.109298541094
harpy,1000,1002.9239766081872,1011.9574091097104,1023.5042482334836,1054.875503616494,1111.5921047002078,1152.6565989426406,1151.2317463693525,1173.8106181626235,1200.277275317317,1177.831477416586,1173.0414583363154,1189.8059397255822,1189.8059397255822
hellion,1000,1006.2083575502852,1000.9719275000148,997.3211851705632,1029.720832917072,1090.5312519290997,1131.3670378357021,1132.5907018214814,1137.9379028225446,1141.0226405865142,1124.5114491596162,1120.9352786338145,1146.0153836977836,1146.0153836977836
hippo,1000,999.2767354875833,994.9739562278453,1002.772049765008,1024.0609907302717,1051.4761054231446,1084.0408062829233,1087.944666863177,1087.318059313124,1071.4405987774865,1069.2693725905458,1080.347382054158,1088.3678611842674,1085.8499482607642
homarid,1000,1011.1491993844934,1012.2435166998443,1009.0974607038852,1041.812184530181,1115.534626697229,1141.8281685981447,1161.4613346474055,1175.8942781837836,1185.6037970240034,1156.2407933322945,1159.967519856258,1152.6856607886498,1152.6856607886498
homunculus,1000,998.3188246562993,1001.1414522855356,1004.5348715599823,1024.7538963811912,1054.6713815465116,1086.0860553909151,1099.7028001553647,1127.5046898953626,1130.9213707738334,1134.567144664502,1128.966918766614,1144.3619222043408,1144.3619222043408
horror,1000,995.120183582416,996.3176211943288,993.7081618203104,1012.2331650087567,1052.4226006157803,1070.7132393646127,1080.1491791045746,1088.5928796801934,1093.1333657940104,1081.0458345596467,1093.3750195130376,1102.6049965245786,1102.6049965245786
horse,1000,1151.790266625612,1358.406784442531,1353.435874677501,1368.909558193738,2034.428945650484,2289.185515534257,4124.847067106681,4044.584527292896,4985.819073829297,5117.54126480806,5019.609842123395,6501.6706756983895,6501.6706756983895
hound,1000,1002.1474225293367,1004.6845531023524,1001.784504353444,1025.201752446044,1062.198956143051,1107.0250505967294,1101.5959271691922,1132.9678181245433,1127.849559223647,1127.1104438960076,1122.8601136705138,1124.8076672049817,1124.8076672049817
huatli,1000,1000.0,1000.8529065048112,969.1921973016748,972.8143039982024,1038.4254293842419,1043.7681985180175,1102.9678529124662,1140.8714300723632,1140.800522402358,1089.9582664585776,1063.5635632288588,1082.7051496990907,1064.2007344133244
human,1000,998.8240490152743,1005.210432860692,1004.0276659065823,1033.0969451499168,1061.0001543945943,1087.8608190269244,1081.5395444683868,1093.6663908122778,1097.5793582886242,1088.7177828161152,1086.8840223035913,1091.4778582168165,1091.1742226482504
hydra,1000,1007.3408074024147,1008.3980311077762,1005.5631864988796,1024.1327578752202,1052.8598808207319,1066.481448217428,1060.0223091055616,1081.2278529042896,1081.7600814620444,1095.5250092015074,1128.273945119494,1300.1964412792447,1300.1964412792447
illusion,1000,993.21922876811,1002.1018078060564,1003.2899625943652,1016.4934286102382,1039.49957816927,1015.9754163063933,1025.1785879140698,1020.436461895986,1026.0352786284304,1018.1987159559476,1014.3110972497163,1014.2633115456938,1012.1648357287028
imp,1000,999.898277843058,1018.1094586293582,1034.3577646904473,1067.2229643397231,1106.4638433142247,1132.0458324139704,1135.8847991030855,1138.6400228252667,1141.9794078260204,1137.6786290571488,1134.4889343673565,1141.4197610693852,1141.4197610693852
incarnation,1000,1091.1618336229726,1072.4981507258126,1074.3155424557492,1117.8480475284694,1123.0232699707308,1131.470181282875,1115.1832817682243,1146.32747630021,1137.9324350695574,1133.3524183868658,1160.738293155708,1151.0606605850373,1151.0606605850373
insect,1000,1025.5446134248298,1027.2722449950772,1033.9519892437359,1047.721308741326,1073.8085455977252,1089.3522625697126,1091.1669400245482,1097.9705028828707,1095.0150518129653,1095.2306083026913,1091.4126200662804,1098.6727689925951,1099.7681556017603
ir,1000,1003.9448076816903,1008.5581991686336,1012.424249778176,1030.4688535239748,1059.4697727459422,1079.9737999750369,1084.9370555643757,1096.2046710693294,1095.7493131247984,1091.5115453888943,1093.5283392155445,1098.8853513932722,1098.6666998555384
island,1000,1005.9156619700992,1006.4656663601116,1013.8801036295256,1026.8240316160131,1091.4143408582224,1123.7925372968932,1207.9799145805036,1221.7027292987295,1218.0278441081234,1214.3928834437359,1220.489035368231,1231.9819796008098,1231.0135054054044
jace,1000,998.2563507119826,980.5696609858528,951.5332009239476,967.708843322048,1013.6629906606537,1019.5767721178968,1047.7519186012005,1057.467909122345,1054.5016628569251,1043.9773567504337,1040.6119725126284,1037.9829298966863,1031.359610248774
