,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019,04/08/2019
barbarian,,0.00428341100000007,-0.004184704192032096,0.0020661150950904705,0.008277900817159844,0.031323954153649636,0.035892809265346326,-0.019573644690158765,0.02669323905548171,-0.008932143336881193,0.008506611295593158,-0.000579371158790476,-0.0014654867175043496,0.0,0.0
basilisk,,0.001299337000000067,0.005808260112729835,0.0011825023256726297,0.013970631099846864,0.008452395766835208,0.01636017964095071,0.005574312562731887,0.009367228040302322,-0.0009758151991751118,0.006021709070335612,-0.006842427975170429,-0.0069806012788355964,0.0,0.0
bat,,0.002905342000000033,0.004614550153627661,0.003751107783485752,0.021799088217687945,0.027056128937744228,0.014856788749408212,0.006711990557022096,0.011314039974439583,0.002192843451667592,-0.0012619350968376963,0.0014954947988568001,0.008805425316798177,0.0,0.0
bear,,-0.00511811409999996,0.0026823510788778204,0.007444563996976239,0.3483343109130781,0.012998926409626854,0.03544643085024379,0.33330451306880704,0.00815534149812791,0.06912073619610082,0.07448984586031271,0.016469144940085112,0.0012630931007360235,0.0,0.0
beast,,0.00022514100000003978,0.004669420721949313,0.01047850529326566,0.018395915334862956,0.03193896161600707,0.022282878913707282,0.0017317755715915428,0.007168474803450842,0.00026643708357854123,-0.005338065935694747,0.0008790572871493207,0.003952939978203895,0.00017802311540471294,0.0
berserker,,-0.006249999999999978,0.007107971823899328,0.009986772291362689,0.01694739898710229,0.041338443483424525,0.037255003087224514,0.018614789843908408,0.009888157195069969,-0.0007759488618727106,-0.014079698540258478,-0.0049376230509371455,-0.0031618888238903464,-0.0029239766081872176,0.0
bird,,-0.0023646566999999674,0.007756463072372322,0.0032421514128584406,0.01575788160926761,0.03274194079332382,0.0120323583776214,0.01282581224599788,0.008272155928027658,-0.00597515370978785,-0.007037749826558359,-0.0022222321008270596,0.01254013794104103,-0.00013837000138361422,0.0
blinkmoth,,-0.0026558731999999363,0.0011670500369160841,-0.005465386734533451,0.01942117526692244,0.007980823114369429,0.010762085580162228,0.03468168330532695,0.030350169335070953,0.08499855142185742,0.007687000958419565,-0.008640363127178197,0.009155027162584872,0.0,0.0
boar,,-0.0053038433,0.005846928492510672,0.003342936169304034,0.016381869682793315,0.0344291022166332,0.017816453714347924,-0.00750473549352304,0.010605282043313569,0.008739251834214645,-0.009015572848507847,-0.003680464260149452,0.15160185505488477,-0.0028227785959744622,0.0
bolas,,0.024765563999999962,0.026545404095955627,-0.005515817880381246,0.006368987854444175,-0.001720249078413727,0.0054858823304961835,-0.005164593948964957,0.0036788171143604664,-0.006257027734597687,-0.01707766475543193,-0.010965889332065437,-0.005032982163694633,-0.003983516483516358,0.0
bringer,,0.0018994279999999808,0.0022458122413460124,0.008502010854945397,0.026872473411808873,0.03166201348774633,0.04481247854421633,-0.004256896792447784,0.025818863036357387,-0.007573137367466121,-0.0023423149768373452,0.007708708562759403,0.005815707705488116,0.0,0.0
carrier,,-0.016339869300000087,0.008928571491201964,0.01792717052485515,0.02626050481099096,0.05569764074606898,0.015873016076049407,0.005952381327120948,0.016865079424505547,-0.007518797580835068,-0.008403361471093329,0.014703426057604663,-0.0205058101149016,0.0,0.0
cartouche,,0.014285713999999894,0.027777777613458676,-0.004761904044736864,0.01999999959517873,0.07502164536588074,0.027195484215010612,0.010597825713732023,0.02974454485577316,0.006805555711223432,-0.010692982244537519,-0.004761485938004184,0.008514492855210776,0.0,0.0
cat,,-0.0011963240000000264,0.006535634736690721,0.0017524906103310034,0.019010279887407444,0.03216235557698632,0.01462108616568214,0.007288506303216868,0.008180022805591936,-0.0005300293922891886,-0.006921245395254849,-0.00107407038552354,0.0034296709218673005,-0.00013366752026278128,0.0
centaur,,-0.006718169800000062,0.004765124414937816,0.009953761096080038,0.025842190871921744,0.055878421289089264,0.025806862296732902,-0.0009297719262495452,0.011488115900023299,0.0004919140387351639,-0.007796774604722612,-0.0015184241740346938,0.007800995694064783,0.0017857142857142794,0.0
