benchmark,generation
LizDanforth,"SELECT uuid FROM cards WHERE artist = ""Liz Danforth"""
BobEggleton,"SELECT uuid FROM cards WHERE artist = ""Bob Eggleton"""
ThomasGianni,"SELECT uuid FROM cards WHERE artist = ""Thomas Gianni"""
GregSimanson,"SELECT uuid FROM cards WHERE artist = ""Greg Simanson"""
ZinaSaunders,"SELECT uuid FROM cards WHERE artist = ""Zina Saunders"""
MikeKerr,"SELECT uuid FROM cards WHERE artist = ""Mike Kerr"""
JWFrost,"SELECT uuid FROM cards WHERE artist = ""J. W. Frost"""
RuthThompson,"SELECT uuid FROM cards WHERE artist = ""Ruth Thompson"""
PatMorrissey,"SELECT uuid FROM cards WHERE artist = ""Pat Morrissey"""
DavidACherry,"SELECT uuid FROM cards WHERE artist = ""David A. Cherry"""
TomKyffin,"SELECT uuid FROM cards WHERE artist = ""Tom Kyffin"""
TonyRoberts,"SELECT uuid FROM cards WHERE artist = ""Tony Roberts"""
BlackiedelRio,"SELECT uuid FROM cards WHERE artist = ""Blackie del Rio"""
ColinMacNeil,"SELECT uuid FROM cards WHERE artist = ""Colin MacNeil"""
WilliamDonohoe,"SELECT uuid FROM cards WHERE artist = ""William Donohoe"""
GeofreyDarrow,"SELECT uuid FROM cards WHERE artist = ""Geofrey Darrow"""
JasonAlexanderBehnke,"SELECT uuid FROM cards WHERE artist = ""Jason Alexander Behnke"""
CraigHooper,"SELECT uuid FROM cards WHERE artist = ""Craig Hooper"""
JohnBolton,"SELECT uuid FROM cards WHERE artist = ""John Bolton"""
CliffNielsen,"SELECT uuid FROM cards WHERE artist = ""Cliff Nielsen"""
DavidHo,"SELECT uuid FROM cards WHERE artist = ""David Ho"""
RonChironna,"SELECT uuid FROM cards WHERE artist = ""Ron Chironna"""
BrianDurfee,"SELECT uuid FROM cards WHERE artist = ""Brian Durfee"""
FredFields,"SELECT uuid FROM cards WHERE artist = ""Fred Fields"""
Dom,"SELECT uuid FROM cards WHERE artist = ""Dom!"""
BrianHorton,"SELECT uuid FROM cards WHERE artist = ""Brian Horton"""
GeofreyDarrowIRabarot,"SELECT uuid FROM cards WHERE artist = ""Geofrey Darrow & I. Rabarot"""
CecilFernando,"SELECT uuid FROM cards WHERE artist = ""Cecil Fernando"""
CarolHeyer,"SELECT uuid FROM cards WHERE artist = ""Carol Heyer"""
PatrickKochakji,"SELECT uuid FROM cards WHERE artist = ""Patrick Kochakji"""
RomasKukalis,"SELECT uuid FROM cards WHERE artist = ""Romas Kukalis"""
DylanMartens,"SELECT uuid FROM cards WHERE artist = ""Dylan Martens"""
AlDavidson,"SELECT uuid FROM cards WHERE artist = ""Al Davidson"""
JohnGallagher,"SELECT uuid FROM cards WHERE artist = ""John Gallagher"""
MarcFishman,"SELECT uuid FROM cards WHERE artist = ""Marc Fishman"""
Ciruelo,"SELECT uuid FROM cards WHERE artist = ""Ciruelo"""
MarkRomanoski,"SELECT uuid FROM cards WHERE artist = ""Mark Romanoski"""
GregHildebrandtTimHildebrandt,"SELECT uuid FROM cards WHERE artist = ""Greg Hildebrandt & Tim Hildebrandt"""
RonWalotsky,"SELECT uuid FROM cards WHERE artist = ""Ron Walotsky"""
AaronBoyd,"SELECT uuid FROM cards WHERE artist = ""Aaron Boyd"""
JamesBernardin,"SELECT uuid FROM cards WHERE artist = ""James Bernardin"""
