mtgjson_set_code,mtgjson_name,mtgjson_link,mkm_set_name,mkm_web_name
UDS,Urza's Destiny,https://mtgjson.com/v4/json/UDS.json,Urza's Destiny,Urza%27ss+Destiny
ULG,Urza's Legacy,https://mtgjson.com/v4/json/ULG.json,Urza's Legacy,Urza%27ss+Legacy
USG,Urza's Saga,https://mtgjson.com/v4/json/USG.json,Urza's Saga,Urza%27ss+Saga
VIS,Visions,https://mtgjson.com/v4/json/VIS.json,Visions,Visions
WTH,Weatherlight,https://mtgjson.com/v4/json/WTH.json,Weatherlight,Weatherlight
W16,Welcome Deck 2016,https://mtgjson.com/v4/json/W16.json,Welcome Deck 2016,Welcome+Deck+2016
W17,Welcome Deck 2017,https://mtgjson.com/v4/json/W17.json,Welcome Deck 2017,Welcome+Deck+2017
WWK,Worldwake,https://mtgjson.com/v4/json/WWK.json,Worldwake,Worldwake
ZEN,Zendikar,https://mtgjson.com/v4/json/ZEN.json,Zendikar,Zendikar
EXP,Zendikar Expeditions,https://mtgjson.com/v4/json/EXP.json,Zendikar Expeditions,Zendikar+Expeditions
MP2,Amonkhet Invocations,https://mtgjson.com/v4/json/MP2.json,Amonkhet Invocations,Amonkhet+Invocations
PGPX,Grand Prix Promos,https://mtgjson.com/v4/json/PGPX.json,Grand Prix Promos,Grand+Prix+Promos
NEM,Nemesis,https://mtgjson.com/v4/json/NEM.json,Nemesis,Nemesis
P02,Portal Second Age,https://mtgjson.com/v4/json/P02.json,Portal Second Age,Portal+Second+Age
PPRO,Pro Tour Promos,https://mtgjson.com/v4/json/PPRO.json,Pro Tour Promos,Pro+Tour+Promos
REN,Renaissance,https://mtgjson.com/v4/json/REN.json,Renaissance,Renaissance
PRES,Resale Promos,https://mtgjson.com/v4/json/PRES.json,Resale Promos,Resale+Promos
RIN,Rinascimento,https://mtgjson.com/v4/json/RIN.json,Rinascimento,Rinascimento
PAKH,Amonkhet Promos,https://mtgjson.com/v4/json/PAKH.json,Amonkhet: Promos,Amonkhet%3A+Promos
PBFZ,Battle for Zendikar Promos,https://mtgjson.com/v4/json/PBFZ.json,Battle for Zendikar: Promos,Battle+for+Zendikar%3A+Promos
PBBD,Battlebond Promos,https://mtgjson.com/v4/json/PBBD.json,Battlebond: Promos,Battlebond%3A+Promos
PDTK,Dragons of Tarkir Promos,https://mtgjson.com/v4/json/PDTK.json,Dragons Of Tarkir: Promos,Dragons+Of+Tarkir%3A+Promos
PDTP,Duels of the Planeswalkers Promos 2009,https://mtgjson.com/v4/json/PDTP.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PDP10,Duels of the Planeswalkers Promos 2010,https://mtgjson.com/v4/json/PDP10.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PDP11,Duels of the Planeswalkers Promos 2011,https://mtgjson.com/v4/json/PDP11.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PDP12,Duels of the Planeswalkers Promos 2012,https://mtgjson.com/v4/json/PDP12.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PDP13,Duels of the Planeswalkers Promos 2013,https://mtgjson.com/v4/json/PDP13.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PDP14,Duels of the Planeswalkers Promos 2014,https://mtgjson.com/v4/json/PDP14.json,Duels of the Planeswalkers Promos,Duels+of+the+Planeswalkers+Promos
PEMN,Eldritch Moon Promos,https://mtgjson.com/v4/json/PEMN.json,Eldritch Moon: Promos,Eldritch+Moon%3A+Promos
PFRF,Fate Reforged Promos,https://mtgjson.com/v4/json/PFRF.json,Fate Reforged: Promos,Fate+Reforged%3A+Promos
PHOU,Hour of Devastation Promos,https://mtgjson.com/v4/json/PHOU.json,Hour of Devastation: Promos,Hour+of+Devastation%3A+Promos
PXLN,Ixalan Promos,https://mtgjson.com/v4/json/PXLN.json,Ixalan: Promos,Ixalan%3A+Promos
PKLD,Kaladesh Promos,https://mtgjson.com/v4/json/PKLD.json,Kaladesh: Promos,Kaladesh%3A+Promos
