,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28
assassin,,-0.1084761951813974,-0.03664844096349951,-0.006135910415707491,-0.04043833924988449,0.002091040694869317,-0.02118780096308248,-0.017874713020662458,-0.01051928535648694,-0.017381032737090685,-0.003262922891980158,-0.003101309441764233,-0.008814379536813188,-0.9074106364428944,13.294491525423727,-0.1084761951813975,-0.036648440963499396,-0.006135910415707491,-0.0404383392498846,0.002091040694869317,-0.02118780096308226,-0.017874713020662458,-0.010519285356487051,-0.017381032737090685,-0.003262922891980047,-0.003101309441764233,-0.0088143795368133,-0.9074106364428944
assembly-worker,,0.0172231054584,-0.014121001905649577,-0.004171823504053984,0.012302579212690956,-0.014360205264029258,0.01291794376565747,-0.0060380799734709445,-0.014151271251233832,-0.002524006260663403,0.009004806333050341,2.802023060688441e-05,-0.032950867902324155,0.0,0.03881090008257604,0.01722310545839978,-0.014121001905649577,-0.004171823504053762,0.012302579212690734,-0.014360205264029036,0.01291794376565747,-0.0060380799734709445,-0.014151271251233832,-0.002524006260663514,0.009004806333050563,2.8020230606662366e-05,-0.032950867902324155,0.0
atog,,0.15840821566110397,-0.004432624113475003,0.005342831700801298,0.008857395925597977,0.006145741878841093,-0.0139616055846421,-0.012389380530973604,0.025985663082437327,-0.006113537117904078,-0.0061511423550086874,0.007073386383731339,0.0026338893766459925,0.6692936368943374,-0.489202657807309,0.15840821566110397,-0.004432624113475003,0.005342831700801298,0.008857395925597977,0.006145741878841093,-0.0139616055846421,-0.012389380530973604,0.025985663082437327,-0.006113537117904078,-0.0061511423550086874,0.007073386383731339,0.0026338893766459925,0.6692936368943374
aura,,3.4983622385187374e-05,-0.00025178044744966765,-0.0016981471487680366,0.0208953502620024,-0.021376560904089237,0.01405093553605452,0.002703484883778362,0.00196995422450863,0.014808594023374644,-0.015578665710384465,-0.0027741388610612594,0.025142078383713518,-0.4070581785787719,0.6255249093338469,3.4983622385187374e-05,-0.00025178044744955663,-0.0016981471487680366,0.0208953502620024,-0.021376560904089237,0.014050935536054743,0.002703484883778362,0.00196995422450863,0.014808594023374422,-0.015578665710384021,-0.0027741388610615925,0.025142078383713518,-0.4070581785787718
aurochs,,-0.011494252873563204,0.0,0.0,0.023255813953488635,0.07954545454545436,-0.010526315789473717,0.010638297872340496,0.0,-0.03157894736842104,0.04347826086956519,-0.04166666666666674,0.04347826086956519,0.0,-0.09375000000000011,-0.011494252873563204,0.0,0.0,0.023255813953488413,0.07954545454545459,-0.010526315789473717,0.010638297872340496,0.0,-0.03157894736842104,0.04347826086956519,-0.04166666666666674,0.04347826086956519,0.0
avatar,,-0.0795286385793873,-0.011253620190318836,-0.0008368901163274822,0.007454560683474387,-0.013937176890286396,-0.017251246831820666,-0.003993344425956558,0.006682258603407654,-0.003070029870561042,-0.005243445692883597,-0.008952476572958501,-0.011566061629379454,-0.577916809019474,1.7398044359647034,-0.07952863857938719,-0.011253620190318947,-0.0008368901163274822,0.007454560683474387,-0.013937176890286396,-0.017251246831820666,-0.003993344425956558,0.006682258603407654,-0.003070029870561042,-0.005243445692883708,-0.008952476572958279,-0.011566061629379676,-0.5779168090194738
barbarian,,0.006451612903225934,-0.0064102564102564985,0.0032258064516133,0.006430868167202064,0.025559105431310014,0.01869158878504673,-0.00917431192660545,0.0185185185185186,-4.440892098500626e-16,0.0,-0.0030303030303026057,0.02127659574468077,0.0,-0.07738095238095255,0.006451612903225934,-0.0064102564102564985,0.003225806451613078,0.006430868167202508,0.025559105431310014,0.01869158878504673,-0.00917431192660545,0.0185185185185186,-1.1102230246251565e-16,0.0,-0.003030303030302939,0.02127659574468077,0.0
basilisk,,-0.07197252290930589,-0.0009100837277029594,0.0012752778283839916,0.023380640465793023,-0.01760156458351836,0.0007239163876571197,-0.0075956234740932604,-0.01831435079726651,0.018191943567848368,-0.0019143117593437564,-0.012329893140926251,0.012761235435546636,-0.9600986121256392,26.094202898550726,-0.07197252290930589,-0.0009100837277029594,0.0012752778283837696,0.023380640465793023,-0.01760156458351836,0.0007239163876573418,-0.0075956234740933715,-0.0183143507972664,0.018191943567848146,-0.0019143117593437564,-0.01232989314092614,0.012761235435546636,-0.9600986121256392
bat,,0.051595489896059554,0.007443993017853812,0.008333742430878477,-0.029114236685884753,0.017124042463205313,0.009107589501290647,0.03114791735198641,-0.018737492695455882,-0.005718488381849407,0.008198183366020073,0.01275609446405035,-0.010995658643491946,-0.7127077689707728,2.2185343868960974,0.05159548989605933,0.007443993017854034,0.008333742430878033,-0.029114236685884753,0.017124042463205313,0.009107589501290647,0.03114791735198663,-0.018737492695455993,-0.005718488381849296,0.008198183366020073,0.01275609446405035,-0.010995658643491946,-0.7127077689707727
bear,,-0.05996411957360681,0.009876672789294272,-0.008626423879604217,0.08634600465477105,-0.20793758480325641,2.468741839452657,0.5725126475548052,-0.10540022979701247,0.0007706139224250563,0.0006844626967827949,0.0005129958960328196,-0.053495129037771205,-0.9259660527266161,2.6042857142857136,-0.05996411957360681,0.009876672789294272,-0.008626423879604217,0.08634600465477105,-0.20793758480325641,2.468741839452656,0.5725126475548059,-0.10540022979701258,0.0007706139224248343,0.000684462696783017,0.0005129958960328196,-0.053495129037771205,-0.9259660527266161
beast,,-0.0010911925175368653,0.014032290717683749,0.08120687288653716,0.023289362831654614,-0.007071401987210457,-0.06199454793275805,0.001901140684410496,0.016122989158679824,0.020244311491203648,-0.025263771495190324,0.2892151227941977,-0.019324161191333733,-0.7966336214997184,2.6804360298336216,-0.0010911925175368653,0.01403229071768397,0.08120687288653716,0.023289362831654392,-0.007071401987210568,-0.06199454793275805,0.0019011406844107182,0.0161229891586796,0.020244311491203648,-0.025263771495190324,0.2892151227941979,-0.019324161191333844,-0.7966336214997184
berserker,,-0.0454545454545453,0.0026881720430107503,0.00536193029490617,0.015999999999999792,0.03412073490813672,0.025380710659898442,0.017326732673267342,0.005295548876484979,0.002277904328018332,-0.015909090909090984,-0.004618937644341958,0.011600928074246175,-0.27866972477064234,0.31660231660231664,-0.045454545454545525,0.0026881720430107503,0.005361930294905948,0.015999999999999792,0.03412073490813672,0.025380710659898442,0.017326732673267342,0.005295548876484979,0.002277904328018332,-0.015909090909090984,-0.004618937644341958,0.011600928074246175,-0.27866972477064234
bird,,-0.01776902583111284,0.0018329705579105404,-0.0012578616352199035,0.003892832608197283,0.006830214865837458,-0.007929417020326457,-0.0007880220646173663,-0.01544426919032682,0.14345071924764285,-0.015281292583220085,-0.018977957892655883,-0.0056423173803523685,-0.5450906880129701,1.064323290291727,-0.017769025831112728,0.0018329705579105404,-0.0012578616352199035,0.003892832608197505,0.006830214865837014,-0.007929417020326346,-0.0007880220646173663,-0.01544426919032682,0.14345071924764285,-0.015281292583220085,-0.018977957892655883,-0.0056423173803523685,-0.5450906880129701
blinkmoth,,-0.009903441445902272,0.006001500375093283,-0.007705692269450504,0.029559118236472948,0.019708029197080368,0.019804342638988226,0.041881141787552645,0.06242982259151142,0.24582540689072085,-0.02595860196810329,-0.04406897753004668,-0.026239067055393805,0.0,-0.24419910179640714,-0.009903441445902383,0.006001500375093283,-0.007705692269450393,0.029559118236472948,0.019708029197080368,0.019804342638988226,0.041881141787552645,0.0624298225915112,0.24582540689072085,-0.02595860196810329,-0.04406897753004679,-0.026239067055393583,0.0
