,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28
aurochs,0.174,0.172,0.172,0.172,0.17600000000000002,0.19,0.188,0.19,0.19,0.184,0.192,0.184,0.192,,0.174,0.172,0.172,0.172,0.176,0.19,0.188,0.19,0.19,0.184,0.192,0.184,0.192,
avatar,4.102857142857143,3.7765625,3.734062499999999,3.7309375,3.75875,3.706363636363636,3.6424242424242426,3.627878787878789,3.652121212121212,3.64090909090909,3.621818181818182,3.58939393939394,3.5478787878787883,1.4975,4.102857142857143,3.7765625000000003,3.734062499999999,3.7309375,3.75875,3.706363636363636,3.6424242424242426,3.627878787878789,3.6521212121212123,3.6409090909090907,3.621818181818182,3.5893939393939402,3.547878787878788,1.4975
barbarian,0.3444444444444444,0.3466666666666666,0.3444444444444444,0.3455555555555556,0.3477777777777777,0.35666666666666663,0.3633333333333333,0.36,0.3666666666666667,0.36666666666666653,0.36666666666666653,0.3655555555555556,0.37333333333333335,,0.3444444444444444,0.3466666666666666,0.3444444444444444,0.34555555555555556,0.34777777777777774,0.35666666666666663,0.3633333333333333,0.36,0.3666666666666667,0.36666666666666664,0.36666666666666664,0.3655555555555556,0.37333333333333335,
basilisk,6.231666666666667,5.783157894736843,5.777894736842106,5.785263157894738,5.9205263157894725,5.816315789473684,5.820526315789473,5.776315789473685,5.670526315789474,5.773684210526316,5.762631578947368,5.69157894736842,5.7642105263157895,0.23,6.231666666666667,5.783157894736843,5.777894736842106,5.785263157894737,5.9205263157894725,5.816315789473684,5.820526315789474,5.776315789473685,5.670526315789475,5.773684210526316,5.762631578947368,5.691578947368421,5.7642105263157895,0.23
bat,6.021365932047751,6.332041257155198,6.379176928062223,6.4323393455016955,6.24506669535283,6.352007482629602,6.409858959290518,6.609512716392389,6.485667020148464,6.448578808645201,6.501445440168705,6.584378492356367,6.5119789140748665,1.870840950639853,6.021365932047751,6.332041257155197,6.379176928062224,6.432339345501695,6.245066695352829,6.352007482629601,6.409858959290517,6.609512716392389,6.485667020148463,6.448578808645201,6.501445440168705,6.584378492356367,6.5119789140748665,1.8708409506398531
bear,0.7208571428571428,0.6776315789473685,0.6843243243243244,0.678421052631579,0.737,0.58375,2.0248780487804883,3.1841463414634137,2.8485365853658533,2.8507317073170735,2.852682926829268,2.8541463414634145,2.7014634146341465,0.2,0.7208571428571428,0.6776315789473685,0.6843243243243244,0.678421052631579,0.737,0.58375,2.024878048780488,3.184146341463414,2.8485365853658533,2.850731707317073,2.852682926829268,2.8541463414634145,2.7014634146341465,0.19999999999999998
beast,5.345833333333335,5.3400000000000025,5.414932432432434,5.854662162162162,5.991013513513516,5.948648648648652,5.5798648648648665,5.590472972972973,5.6806081081081095,5.795608108108107,5.649189189189191,7.283020134228197,7.142281879194642,1.4525,5.345833333333335,5.3400000000000025,5.414932432432435,5.854662162162163,5.991013513513516,5.948648648648651,5.579864864864866,5.590472972972974,5.6806081081081095,5.795608108108107,5.649189189189191,7.283020134228198,7.142281879194642,1.4525000000000001
berserker,0.24357142857142855,0.2325,0.233125,0.234375,0.23812499999999995,0.24625,0.2525,0.256875,0.2582352941176471,0.2588235294117648,0.2547058823529412,0.2535294117647059,0.2564705882352942,0.185,0.24357142857142858,0.23249999999999998,0.233125,0.23437499999999997,0.23812499999999995,0.24625000000000002,0.2525,0.256875,0.2582352941176471,0.2588235294117648,0.2547058823529412,0.2535294117647059,0.2564705882352942,0.185
bird,1.2695588235294122,1.2470000000000008,1.2492857142857152,1.2477142857142869,1.2525714285714291,1.261126760563381,1.2511267605633805,1.2501408450704232,1.230833333333333,1.4073972602739733,1.3858904109589043,1.3595890410958906,1.3519178082191787,0.615,1.269558823529412,1.2470000000000008,1.2492857142857152,1.2477142857142869,1.2525714285714293,1.2611267605633807,1.2511267605633805,1.2501408450704232,1.230833333333333,1.4073972602739733,1.3858904109589043,1.3595890410958906,1.3519178082191787,0.615
blinkmoth,5.7700000000000005,5.712857142857144,5.747142857142856,5.702857142857143,5.871428571428571,5.9871428571428575,6.105714285714285,6.36142857142857,6.758571428571428,8.42,8.20142857142857,7.840000000000002,7.634285714285714,,5.7700000000000005,5.7128571428571435,5.7471428571428556,5.702857142857143,5.871428571428571,5.987142857142857,6.105714285714285,6.361428571428571,6.758571428571428,8.42,8.20142857142857,7.840000000000001,7.634285714285715,
boar,0.3984615384615384,0.8055555555555556,0.7551851851851852,0.7155555555555556,0.6951851851851851,0.695925925925926,0.6866666666666666,0.6655555555555556,0.6662962962962964,0.6407142857142858,0.6192857142857143,0.615,0.6446428571428573,5.36,0.3984615384615384,0.8055555555555556,0.7551851851851852,0.7155555555555556,0.6951851851851851,0.695925925925926,0.6866666666666666,0.6655555555555556,0.6662962962962964,0.6407142857142858,0.6192857142857143,0.615,0.6446428571428573,5.36
bolas,8.42157894736842,9.150454545454542,10.057272727272727,10.114090909090908,10.024545454545452,9.637272727272727,9.595,9.340909090909092,8.93818181818182,8.802727272727275,8.512727272727274,8.335454545454544,8.065,4.083333333333333,8.42157894736842,9.150454545454545,10.057272727272728,10.114090909090908,10.024545454545454,9.637272727272727,9.595,9.340909090909092,8.93818181818182,8.802727272727275,8.512727272727274,8.335454545454544,8.065,4.083333333333333
bringer,0.5883333333333334,0.5844444444444444,0.5844444444444443,0.5927777777777777,0.5994444444444444,0.6111111111111109,0.6194444444444446,0.6144444444444446,0.6233333333333335,0.6144444444444446,0.6161111111111113,0.6205555555555557,0.6300000000000002,,0.5883333333333334,0.5844444444444444,0.5844444444444443,0.5927777777777777,0.5994444444444444,0.611111111111111,0.6194444444444446,0.6144444444444446,0.6233333333333335,0.6144444444444446,0.6161111111111113,0.6205555555555557,0.6300000000000002,
carrier,0.17428571428571424,0.17142857142857146,0.17285714285714285,0.17571428571428568,0.17999999999999994,0.19,0.19285714285714284,0.19428571428571426,0.19714285714285712,0.1957142857142857,0.19428571428571426,0.19714285714285712,0.19285714285714284,,0.17428571428571424,0.17142857142857143,0.17285714285714285,0.17571428571428568,0.17999999999999997,0.18999999999999997,0.19285714285714284,0.19428571428571426,0.19714285714285712,0.1957142857142857,0.19428571428571426,0.19714285714285712,0.19285714285714284,
